"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Vauxhall CDA CS","02-June-2018","7.4","ACTUAL","100.0","22.6","ACTUAL","100.0","15.8","AGGREGATED","100.0","58.7","AGGREGATED","100.0","27.9","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","12.7","AGGREGATED","0.0","15.4","AGGREGATED","100.0","274.4","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","03-June-2018","7.1","ACTUAL","100.0","24.9","ACTUAL","100.0","16.7","AGGREGATED","100.0","60.8","AGGREGATED","100.0","27.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.4","AGGREGATED","0.0","10.1","AGGREGATED","100.0","242.1","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","04-June-2018","13.6","ACTUAL","100.0","25.2","ACTUAL","100.0","19.4","AGGREGATED","100.0","47.6","AGGREGATED","100.0","27.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.5","AGGREGATED","0.0","25.5","AGGREGATED","100.0","246.6","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","05-June-2018","5.7","ACTUAL","100.0","21.8","ACTUAL","100.0","14.3","AGGREGATED","100.0","56.9","AGGREGATED","100.0","28.0","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","10.0","AGGREGATED","0.0","12.7","AGGREGATED","100.0","224.7","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","06-June-2018","7.9","ACTUAL","100.0","26.0","ACTUAL","100.0","17.9","AGGREGATED","100.0","41.6","AGGREGATED","100.0","28.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.3","AGGREGATED","0.0","11.4","AGGREGATED","100.0","240.7","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","07-June-2018","7.8","ACTUAL","100.0","28.8","ACTUAL","100.0","19.2","AGGREGATED","100.0","55.4","AGGREGATED","100.0","28.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.6","AGGREGATED","0.0","10.8","AGGREGATED","100.0","158.8","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","08-June-2018","12.0","ACTUAL","100.0","29.0","ACTUAL","100.0","21.4","AGGREGATED","100.0","48.1","AGGREGATED","100.0","28.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.8","AGGREGATED","0.0","16.4","AGGREGATED","100.0","214.9","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","09-June-2018","9.9","ACTUAL","100.0","31.5","ACTUAL","100.0","18.3","AGGREGATED","100.0","68.8","AGGREGATED","100.0","32.0","AGGREGATED","using element [Precip. Weighing]","4.0","AGGREGATED","using element [Precip. Weighing]","10.9","AGGREGATED","0.0","13.6","AGGREGATED","100.0","173.5","AGGREGATED","100.0","3.4","COMPUTED",""
"Vauxhall CDA CS","10-June-2018","10.0","ACTUAL","100.0","17.8","ACTUAL","100.0","13.6","AGGREGATED","100.0","58.4","AGGREGATED","100.0","35.5","AGGREGATED","using element [Precip. Weighing]","3.5","AGGREGATED","using element [Precip. Weighing]","21.8","AGGREGATED","0.0","33.1","AGGREGATED","100.0","243.2","AGGREGATED","100.0","3.4","COMPUTED",""
"Vauxhall CDA CS","11-June-2018","8.4","ACTUAL","100.0","19.1","ACTUAL","100.0","13.4","AGGREGATED","100.0","40.7","AGGREGATED","100.0","35.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","19.3","AGGREGATED","0.0","25.5","AGGREGATED","100.0","265.8","AGGREGATED","100.0","3.4","COMPUTED",""
"Vauxhall CDA CS","12-June-2018","8.2","ACTUAL","100.0","22.5","ACTUAL","100.0","15.7","AGGREGATED","100.0","34.6","AGGREGATED","100.0","35.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.3","AGGREGATED","0.0","21.2","AGGREGATED","100.0","255.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Vauxhall CDA CS","13-June-2018","11.3","ACTUAL","100.0","25.8","ACTUAL","100.0","18.5","AGGREGATED","100.0","37.2","AGGREGATED","100.0","35.6","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","14.7","AGGREGATED","0.0","21.2","AGGREGATED","100.0","250.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","14-June-2018","7.8","ACTUAL","100.0","20.4","ACTUAL","100.0","12.9","AGGREGATED","100.0","72.9","AGGREGATED","100.0","38.7","AGGREGATED","using element [Precip. Weighing]","3.1","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","0.0","14.6","AGGREGATED","100.0","286.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","15-June-2018","7.2","ACTUAL","100.0","19.7","ACTUAL","100.0","13.2","AGGREGATED","100.0","82.9","AGGREGATED","100.0","41.3","AGGREGATED","using element [Precip. Weighing]","2.6","AGGREGATED","using element [Precip. Weighing]","7.3","AGGREGATED","0.0","7.5","AGGREGATED","100.0","289.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","16-June-2018","10.7","ACTUAL","100.0","18.0","ACTUAL","100.0","12.8","AGGREGATED","100.0","89.2","AGGREGATED","100.0","50.0","AGGREGATED","using element [Precip. Weighing]","8.7","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","0.0","13.9","AGGREGATED","100.0","343.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","17-June-2018","10.6","ACTUAL","100.0","22.3","ACTUAL","100.0","16.2","AGGREGATED","100.0","71.0","AGGREGATED","100.0","50.3","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","5.8","AGGREGATED","0.0","5.5","AGGREGATED","100.0","322.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","18-June-2018","11.4","ACTUAL","100.0","19.4","ACTUAL","100.0","15.3","AGGREGATED","100.0","85.6","AGGREGATED","100.0","50.6","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","6.5","AGGREGATED","0.0","6.4","AGGREGATED","100.0","349.4","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","19-June-2018","13.0","ACTUAL","100.0","23.8","ACTUAL","100.0","17.9","AGGREGATED","100.0","70.5","AGGREGATED","100.0","50.9","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","7.0","AGGREGATED","0.0","7.4","AGGREGATED","100.0","165.4","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","20-June-2018","9.2","ACTUAL","100.0","25.8","ACTUAL","100.0","18.4","AGGREGATED","100.0","71.3","AGGREGATED","100.0","50.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.7","AGGREGATED","0.0","11.2","AGGREGATED","100.0","169.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","21-June-2018","12.3","ACTUAL","100.0","29.1","ACTUAL","100.0","20.9","AGGREGATED","100.0","66.8","AGGREGATED","100.0","50.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.8","AGGREGATED","0.0","13.1","AGGREGATED","100.0","175.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","22-June-2018","13.7","ACTUAL","100.0","28.4","ACTUAL","100.0","20.1","AGGREGATED","100.0","64.7","AGGREGATED","100.0","50.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.8","AGGREGATED","0.0","15.9","AGGREGATED","100.0","297.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","23-June-2018","14.2","ACTUAL","100.0","23.5","ACTUAL","100.0","17.4","AGGREGATED","100.0","83.8","AGGREGATED","100.0","54.3","AGGREGATED","using element [Precip. Weighing]","3.4","AGGREGATED","using element [Precip. Weighing]","10.1","AGGREGATED","0.0","12.6","AGGREGATED","100.0","317.4","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","24-June-2018","13.3","ACTUAL","100.0","27.9","ACTUAL","100.0","20.4","AGGREGATED","100.0","73.2","AGGREGATED","100.0","54.4","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","6.4","AGGREGATED","0.0","7.6","AGGREGATED","100.0","257.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","25-June-2018","14.2","ACTUAL","100.0","29.8","ACTUAL","100.0","21.9","AGGREGATED","100.0","58.4","AGGREGATED","100.0","54.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.1","AGGREGATED","0.0","20.3","AGGREGATED","100.0","197.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","26-June-2018","9.6","ACTUAL","100.0","23.1","ACTUAL","100.0","17.8","AGGREGATED","100.0","38.5","AGGREGATED","100.0","54.5","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","17.2","AGGREGATED","0.0","25.2","AGGREGATED","100.0","261.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","27-June-2018","4.4","ACTUAL","100.0","25.2","ACTUAL","100.0","16.9","AGGREGATED","100.0","48.2","AGGREGATED","100.0","54.6","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","10.3","AGGREGATED","0.0","14.1","AGGREGATED","100.0","240.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","28-June-2018","12.2","ACTUAL","100.0","21.2","ACTUAL","100.0","17.0","AGGREGATED","100.0","56.6","AGGREGATED","100.0","54.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.9","AGGREGATED","0.0","11.9","AGGREGATED","100.0","310.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","29-June-2018","9.8","ACTUAL","100.0","20.6","ACTUAL","100.0","15.2","AGGREGATED","100.0","73.0","AGGREGATED","100.0","54.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.0","AGGREGATED","0.0","10.3","AGGREGATED","100.0","325.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","30-June-2018","8.1","ACTUAL","100.0","24.2","ACTUAL","100.0","16.8","AGGREGATED","100.0","61.5","AGGREGATED","100.0","54.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.0","AGGREGATED","0.0","16.9","AGGREGATED","100.0","261.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","01-July-2018","10.8","ACTUAL","100.0","23.3","ACTUAL","100.0","16.3","AGGREGATED","100.0","62.7","AGGREGATED","100.0","54.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.1","AGGREGATED","0.0","12.8","AGGREGATED","100.0","273.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","02-July-2018","6.1","ACTUAL","100.0","17.6","ACTUAL","100.0","12.0","AGGREGATED","100.0","81.7","AGGREGATED","100.0","56.4","AGGREGATED","using element [Precip. Weighing]","1.8","AGGREGATED","using element [Precip. Weighing]","7.1","AGGREGATED","0.0","7.5","AGGREGATED","100.0","320.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","03-July-2018","8.6","ACTUAL","100.0","17.9","ACTUAL","100.0","12.9","AGGREGATED","100.0","77.5","AGGREGATED","100.0","57.0","AGGREGATED","using element [Precip. Weighing]","0.6","AGGREGATED","using element [Precip. Weighing]","8.1","AGGREGATED","0.0","11.0","AGGREGATED","100.0","283.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","04-July-2018","10.3","ACTUAL","100.0","21.9","ACTUAL","100.0","15.7","AGGREGATED","100.0","73.5","AGGREGATED","100.0","62.1","AGGREGATED","using element [Precip. Weighing]","5.1","AGGREGATED","using element [Precip. Weighing]","9.1","AGGREGATED","0.0","10.5","AGGREGATED","100.0","335.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","05-July-2018","8.8","ACTUAL","100.0","28.7","ACTUAL","100.0","19.4","AGGREGATED","100.0","65.3","AGGREGATED","100.0","62.3","AGGREGATED","using element [Precip. Weighing]","0.2","AGGREGATED","using element [Precip. Weighing]","10.0","AGGREGATED","0.0","12.3","AGGREGATED","100.0","134.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","06-July-2018","13.4","ACTUAL","100.0","35.3","ACTUAL","100.0","23.5","AGGREGATED","100.0","59.9","AGGREGATED","100.0","62.4","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","11.7","AGGREGATED","0.0","14.4","AGGREGATED","100.0","189.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","07-July-2018","15.3","ACTUAL","100.0","27.7","ACTUAL","100.0","22.1","AGGREGATED","100.0","38.2","AGGREGATED","100.0","62.7","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","16.7","AGGREGATED","0.0","23.4","AGGREGATED","100.0","257.9","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","08-July-2018","8.9","ACTUAL","100.0","26.8","ACTUAL","100.0","18.8","AGGREGATED","100.0","56.8","AGGREGATED","100.0","62.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.5","AGGREGATED","0.0","7.1","AGGREGATED","100.0","54.9","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","09-July-2018","9.1","ACTUAL","100.0","30.2","ACTUAL","100.0","21.0","AGGREGATED","100.0","54.5","AGGREGATED","100.0","62.8","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","7.2","AGGREGATED","0.0","7.2","AGGREGATED","100.0","69.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","10-July-2018","10.7","ACTUAL","100.0","30.1","ACTUAL","100.0","18.9","AGGREGATED","100.0","71.6","AGGREGATED","100.0","64.4","AGGREGATED","using element [Precip. Weighing]","1.6","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","0.0","13.4","AGGREGATED","100.0","325.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","11-July-2018","13.0","ACTUAL","100.0","27.1","ACTUAL","100.0","20.3","AGGREGATED","100.0","59.8","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.4","AGGREGATED","using element [Precip. Weighing]","10.4","AGGREGATED","0.0","13.8","AGGREGATED","100.0","300.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","12-July-2018","10.0","ACTUAL","100.0","29.7","ACTUAL","100.0","20.8","AGGREGATED","100.0","58.1","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.0","AGGREGATED","0.0","7.3","AGGREGATED","100.0","203.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","13-July-2018","11.9","ACTUAL","100.0","33.3","ACTUAL","100.0","23.4","AGGREGATED","100.0","52.5","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.9","AGGREGATED","0.0","12.3","AGGREGATED","100.0","214.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","14-July-2018","12.2","ACTUAL","100.0","22.0","ACTUAL","100.0","16.3","AGGREGATED","100.0","62.2","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.0","AGGREGATED","0.0","17.5","AGGREGATED","100.0","339.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","15-July-2018","7.5","ACTUAL","100.0","27.5","ACTUAL","100.0","18.2","AGGREGATED","100.0","57.0","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.3","AGGREGATED","0.0","7.8","AGGREGATED","100.0","116.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","16-July-2018","8.2","ACTUAL","100.0","32.8","ACTUAL","100.0","21.1","AGGREGATED","100.0","53.6","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.1","AGGREGATED","0.0","6.1","AGGREGATED","100.0","142.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Vauxhall CDA CS","17-July-2018","9.5","ACTUAL","100.0","35.2","ACTUAL","100.0","23.4","AGGREGATED","100.0","52.1","AGGREGATED","100.0","64.8","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.2","AGGREGATED","0.0","5.1","AGGREGATED","100.0","201.6","AGGREGATED","100.0","0.0","COMPUTED",""
