"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Fincastle IMCIN","11-June-2018","7.2","ACTUAL","100.0","18.4","ACTUAL","100.0","13.0","AGGREGATED","100.0","39.8","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","27.6","AGGREGATED","100.0","28.0","COMPUTED","15.0","COMPUTED","","8.4","COMPUTED","","21.5","COMPUTED","","109.4","COMPUTED","0.0","COMPUTED","","5.8","COMPUTED","solar-ACT, 2m wind, Avg.","126.5","COMPUTED"
"Fincastle IMCIN","12-June-2018","8.8","ACTUAL","100.0","22.1","ACTUAL","100.0","15.4","AGGREGATED","100.0","35.1","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","22.2","AGGREGATED","100.0","31.0","COMPUTED","15.0","COMPUTED","","8.2","COMPUTED","","21.8","COMPUTED","","119.4","COMPUTED","0.0","COMPUTED","","6.9","COMPUTED","solar-ACT, 2m wind, Avg.","136.9","COMPUTED"
"Fincastle IMCIN","13-June-2018","8.1","ACTUAL","100.0","26.1","ACTUAL","100.0","17.9","AGGREGATED","100.0","39.0","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","19.0","AGGREGATED","100.0","34.0","COMPUTED","15.4","COMPUTED","","8.9","COMPUTED","","21.8","COMPUTED","","129.8","COMPUTED","0.0","COMPUTED","","6.8","COMPUTED","solar-ACT, 2m wind, Avg.","149.0","COMPUTED"
"Fincastle IMCIN","14-June-2018","6.2","ACTUAL","100.0","21.7","ACTUAL","100.0","13.5","AGGREGATED","100.0","65.5","AGGREGATED","100.0","30.7","AGGREGATED","using element [Precip. Weighing]","6.0","AGGREGATED","using element [Precip. Weighing]","15.7","AGGREGATED","100.0","37.1","COMPUTED","15.1","COMPUTED","","8.6","COMPUTED","","21.6","COMPUTED","","139.9","COMPUTED","0.0","COMPUTED","","4.5","COMPUTED","solar-ACT, 2m wind, Avg.","158.0","COMPUTED"
"Fincastle IMCIN","15-June-2018","7.6","ACTUAL","100.0","21.2","ACTUAL","100.0","13.7","AGGREGATED","100.0","75.7","AGGREGATED","100.0","31.7","AGGREGATED","using element [Precip. Weighing]","1.0","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","100.0","40.7","COMPUTED","15.2","COMPUTED","","8.6","COMPUTED","","21.9","COMPUTED","","150.1","COMPUTED","0.0","COMPUTED","","4.0","COMPUTED","solar-ACT, 2m wind, Avg.","167.4","COMPUTED"
"Fincastle IMCIN","16-June-2018","11.0","ACTUAL","100.0","16.5","ACTUAL","100.0","12.5","AGGREGATED","100.0","89.0","AGGREGATED","100.0","40.6","AGGREGATED","using element [Precip. Weighing]","8.9","AGGREGATED","using element [Precip. Weighing]","12.6","AGGREGATED","100.0","43.0","COMPUTED","15.7","COMPUTED","","9.2","COMPUTED","","22.3","COMPUTED","","160.8","COMPUTED","0.0","COMPUTED","","1.5","COMPUTED","solar-ACT, 2m wind, Avg.","176.1","COMPUTED"
"Fincastle IMCIN","17-June-2018","8.9","ACTUAL","100.0","23.1","ACTUAL","100.0","16.1","AGGREGATED","100.0","68.6","AGGREGATED","100.0","40.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.4","AGGREGATED","100.0","45.8","COMPUTED","16.0","COMPUTED","","9.2","COMPUTED","","22.7","COMPUTED","","171.8","COMPUTED","0.0","COMPUTED","","5.0","COMPUTED","solar-ACT, 2m wind, Avg.","187.1","COMPUTED"
"Fincastle IMCIN","18-June-2018","12.8","ACTUAL","100.0","19.5","ACTUAL","100.0","15.5","AGGREGATED","100.0","80.7","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","1.5","AGGREGATED","using element [Precip. Weighing]","7.7","AGGREGATED","100.0","48.8","COMPUTED","16.1","COMPUTED","","9.3","COMPUTED","","22.9","COMPUTED","","182.9","COMPUTED","0.0","COMPUTED","","2.2","COMPUTED","solar-ACT, 2m wind, Avg.","198.2","COMPUTED"
"Fincastle IMCIN","19-June-2018","13.1","ACTUAL","100.0","23.1","ACTUAL","100.0","17.0","AGGREGATED","100.0","73.0","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.0","AGGREGATED","100.0","51.3","COMPUTED","16.0","COMPUTED","","9.2","COMPUTED","","22.7","COMPUTED","","193.9","COMPUTED","0.0","COMPUTED","","4.4","COMPUTED","solar-ACT, 2m wind, Avg.","211.3","COMPUTED"
"Fincastle IMCIN","20-June-2018","9.5","ACTUAL","100.0","26.1","ACTUAL","100.0","18.5","AGGREGATED","100.0","68.7","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.2","AGGREGATED","100.0","53.2","COMPUTED","16.1","COMPUTED","","9.1","COMPUTED","","23.0","COMPUTED","","205.0","COMPUTED","0.0","COMPUTED","","5.7","COMPUTED","solar-ACT, 2m wind, Avg.","224.1","COMPUTED"
